Year,Town Code,Town,2010 Census Units,Government Assisted,Tenant Rental Assistance,Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable,Population_2025,Population_2040,Projected_Population_Change_Pct
2011,29,Colebrook,722,0.0,0,7,1,8,1.11,1320,1100,-16.666666666666664
2011,30,Columbia,2308,24.0,4,37,0,65,2.82,5458,5053,-7.420300476364969
2011,31,Cornwall,1007,18.0,0,0,0,18,1.79,1177,901,-23.44944774851317
2011,32,Coventry,5099,104.0,5,116,20,245,4.8,11958,10605,-11.314601103863522
2011,33,Cromwell,6001,212.0,6,199,0,417,6.95,15019,16160,7.597043744590186
2011,34,Danbury,31154,1586.0,952,315,273,3126,10.03,87307,94602,8.355572863573366
2011,35,Darien,7074,83.0,8,1,93,185,2.62,19374,22250,14.844637142562197
2011,36,Deep River,2096,26.0,4,22,0,52,2.48,4031,3201,-20.590424212354254
2011,37,Derby,5849,259.0,305,63,0,627,10.72,13554,14082,3.8955289951305887
2011,38,Durham,2694,33.0,1,11,0,45,1.67,7361,6791,-7.743513109631843
2011,40,East Granby,2152,72.0,1,30,0,103,4.79,5343,5306,-0.6924948530787947
2011,41,East Haddam,4508,73.0,3,27,1,104,2.31,9022,8165,-9.499002438483707
2011,42,East Hampton,5485,70.0,1,69,25,165,3.01,13434,11543,-14.076224504987344
2011,43,East Hartford,21328,1577.0,835,908,0,3320,15.57,54773,58550,6.895733299253282
2011,44,East Haven,12533,421.0,254,294,0,969,7.73,29517,28958,-1.8938238980926245
2011,45,East Lyme,8458,342.0,61,78,10,491,5.81,19049,18225,-4.325686387736889
2011,47,East Windsor,5045,558.0,27,92,14,691,13.7,13591,16011,17.80590096387315
2011,39,Eastford,793,0.0,0,16,0,16,2.02,1789,1700,-4.974846282839575
2011,46,Easton,2715,0.0,33,0,11,44,1.62,6364,5388,-15.336266499057198
2011,48,Ellington,6665,260.0,6,69,0,335,5.03,19055,21951,15.198110732091314
2011,49,Enfield,17558,1340.0,215,546,7,2108,12.01,42620,40015,-6.112153918348193
2011,50,Essex,3261,36.0,4,8,0,48,1.47,5989,5082,-15.1444314576724
2011,51,Fairfield,21648,241.0,182,29,117,569,2.63,58360,67101,14.977724468814257
2011,52,Farmington,11106,456.0,110,117,154,837,7.54,25574,26150,2.252287479471338
2011,53,Franklin,771,0.0,1,15,0,16,2.08,1858,1661,-10.602798708288482
2011,54,Glastonbury,13656,582.0,49,122,0,753,5.51,34432,35939,4.376742565055762
2011,55,Goshen,1664,1.0,1,5,0,7,0.42,3116,3089,-0.8664955070603337
2011,56,Granby,4360,85.0,1,34,5,125,2.87,10471,10051,-4.011078216025212
2011,57,Greenwich,25631,837.0,359,2,54,1252,4.88,54529,47132,-13.565258853087347
2011,58,Griswold,5118,136.0,42,140,0,318,6.21,13205,13900,5.263157894736842
2011,59,Groton,17978,3267.0,56,337,10,3670,20.41,40639,38622,-4.9632126774773
2011,60,Guilford,9596,168.0,5,28,0,201,2.09,21789,21853,0.29372619211528755
2011,61,Haddam,3504,22.0,1,14,0,37,1.06,8865,8630,-2.6508742244782857
